Feature,Importance
City_Mountain View,0.015153078693663105
City_Studio City,0.015120386126843074
City_Arroyo Grande,0.014942660961559004
City_Fairfield,0.014826842653318684
City_Walnut Creek,0.014683207986966519
City_Port Costa,0.014628740420844557
City_Santa Fe Springs,0.014620354934197902
City_Lake Elsinore,0.014572075487003467
City_Lotus,0.01456344539909144
City_Somes Bar,0.014377396409094238
City_Paskenta,0.014318323674896744
Internet Service_Yes,0.014318017303124465
City_Orange,0.014138177187799885
City_West Hills,0.014119513349614534
City_San Pablo,0.014035144583943393
City_Delhi,0.014030481509901964
City_Hornitos,0.013959729367345955
City_Rio Dell,0.01395608028914142
City_Rancho Cucamonga,0.013946365604632164
City_West Covina,0.013931549416919611
City_Old Station,0.013866116259671376
City_French Gulch,0.013670460670519212
City_Martinez,0.013644937045677817
